test_set_index,original_csv_index,prompt,url,rater,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
49,3878,"T-shaped figure made of 2 rectangular prisms, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mN2HDlfU51EfZIG8yHlicP4fYtngNj.svg,B,Yes,Yes,Yes,Yes,,Yes,No,N/A,N/A,Yes,N/A,N/A,N/A
50,427,"coordinate plane, right triangle ABC at origin with vertices A(0,0), B(3,0), C(0,4), and three rotations creating four-triangle pattern around center point",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-lDXC0h415NvBGpB0cJg1ZkzglxmjML.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,Yes,No,No
52,4636,"rectangular prisms, three small connected boxes, box A 2x1x1, box B 1x2x1, box C 1x1x2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4c4tzSRUqaqGzxH9GVSWEpG0CteTWH.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,No,N/A,Yes,Yes
54,2722,"coordinate plane, line through origin with slope -2, y = -2x",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pxbeux7SrL6G9dNA57jAuwX2I3FmlW.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,No
55,1341,"picture graph, favorite pets, dog cat bird symbols, with key",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-V3d3FXf8fqsZTbQoK1dncVbxgbU0A5.svg,B,Yes,Yes,Yes,Yes,,No,N/A,Yes,No,No,N/A,Yes,Yes
56,4336,"coordinate plane with triangle ABC vertices at (1,1), (3,1), (2,3) and scaled copy DEF with scale factor 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-R6lpRLNApNDM8VnVYsbKA66VnuKsZV.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
59,4065,"two triangles side by side, Triangle ABC with sides 3, 4, 5 and Triangle DEF with sides 6, 8, 10",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9zZFocfm3YguZFBfsvIZdEPoTzvOlL.svg,B,Yes,N/A,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
61,2329,"rectangle with tick marks on top edge only, 6 tick marks across top, left side labeled 3 meters",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QIAWMV8LsYD3QegxwpBork1FalJzWu.svg,B,Yes,No,Yes,Yes,,No,N/A,Yes,Yes,No,N/A,Yes,Yes
62,4464,"rectangular prism figure made of 2 prisms, 2 cm × 4 cm × 3 cm bottom prism, 3 cm × 4 cm × 1 cm top prism",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-nTq2Sz5eeQLG8aDuAuHozlerceacNb.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,No,Yes
63,2020,"box plot, min=72, Q1=75, median=77.5, Q3=79, max=82, title Class Test Scores Set 1A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oooK0hnTP5FVlzfdVqvCv6BYFw95cN.svg,B,Yes,No,No,Yes,,Yes,No,Yes,No,Yes,N/A,N/A,No
64,2712,visual showing scale factor 2 with original rectangle 3x4 and scaled copy 6x8,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MTcWcpl7NM94aVD8czCHSf3YsZSRw4.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No
68,3956,square pyramid net with 1 square base and 4 triangular faces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gkH8P0rI1ZS0kVUNICSRzTBxTnAiaa.svg,B,Yes,Yes,Yes,Yes,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
69,200,"two identical hexagons, one reflected across a vertical line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-X0YtSuVUE6qRuuoVFvEECePWa9RHz5.svg,B,Yes,No,N/A,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,No
70,2478,fraction bar showing 3/4 as 3 parts out of 4 equal parts,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-XqBpyD8S3ubsuSIRQwFpQGN9LN1hpl.svg,B,Yes,No,Yes,Yes,,No,No,No,No,No,No,No,Yes
71,4761,"rectangular prism, 1 cm × 2 cm × 12 cm, labeled dimensions",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZjRlZeTE8eLvV5cvzc8FI5jtCUq6qA.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
72,1629,"coordinate plane, steep line y = 2x then becomes y = x after x=3, two different slopes connected, axes labeled x and y, grid lines, title 'Changes slope'",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kzkArefVkqzIZ0xzk04o3J8NygLHEu.svg,B,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
75,2347,rectangular door with diagonal brace creating two triangles,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qKDC0FYdRatF3PvGa92TY9doKgj6is.svg,B,Yes,No,Yes,Yes,,No,No,Yes,No,No,Yes,Yes,Yes
79,3902,"rectangular prism, 4x3x2, partially filled with cubes showing 2 complete layers and 1 incomplete layer with 6 cubes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MetLITjz6XE9drrvi1aZx71s21c420.svg,B,Yes,Yes,Yes,Yes,,No,No,N/A,No,Yes,No,N/A,No
80,1157,"triangle with angles 60 degrees and 30 degrees, one side labeled 7 cm",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MX0yfAXBoSuSfW6sw4O2ZqyqwPGJr9.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
86,4386,construction workspace grid,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FlVSfphaDivBz8OliDEe4p1sgbSGkP.svg,B,No,No,N/A,No,,Yes,N/A,N/A,No,Yes,Yes,N/A,N/A
89,279,coordinate plane showing rectangular prism dimensions as ordered pairs,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QyiS4oPAAbBnaHdvMuwJiG8La2BafW.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,Yes,Yes,No
94,2283,"parallelogram with base 7.5 cm, side 9 cm, height 6 cm",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1VETKFH1AgrLQbLOqZsXPcpasrMv5h.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
95,1785,"number line, 0 to 1, marked at 1/2, point at 1/3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2BJxiUGlGpd5nBb1iR1aVlJvxOA5st.svg,B,Yes,Yes,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,No
96,4023,"coordinate plane, rectangle with vertices at (0,0), (2,0), (2,3), (0,3), no axis labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kRbOFbJHJnzsX0oZLp9pZytOGvmgpG.svg,B,No,Yes,No,No,,No,Yes,Yes,No,No,Yes,N/A,Yes
98,901,"fraction strips, 3/8 vs 5/8, same denominator strips",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-PAHdodBTkQQMF48CwduDNj0hqGeotz.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
99,2274,"Triangle DEF with vertices labeled D, E, F, side length 12 units, distance from D to F is 9 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qUXtcvqiHoRfoHaibc45Djup1xZygY.svg,B,No,Yes,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
100,2,"3D triangular prism with line pointing to face labeled Face, line pointing to vertex labeled Vertex, line pointing to edge labeled Edge",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-iIqHFy8Y0byRRzjrNiu7gBlpzeTquf.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
103,3482,"A table with two columns, 'Pizzas (x)' and 'Cost (y)'. The data shows: 1 pizza for $10, 2 pizzas for $20, and 3 pizzas for $30.",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_candidate-JMH4aC1tPPlEsATgK9CRMSghIkrlNg.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
104,4358,"triangle with exterior angle, interior angles A=65°, exterior angle D=125°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cyLBePIgmsZ07aHTW9jC6C0BtaRPrj.svg,B,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes,No,Yes
105,3770,"rectangular prism net, 10 mm by 6 mm by 4 mm",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RcYXUAmBmvfYFJDDJkbeQ1z6VvwkWM.svg,B,Yes,No,Yes,Yes,,No,No,No,No,Yes,No,Yes,Yes
107,1013,"base 10 blocks, 23",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-whV10QvZ1LFghKRTi2LLHIHUYpRaeX.svg,B,No,No,Yes,Yes,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
109,2436,fraction strip showing 1 divided into 5 equal parts,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HyvjVKAnpAeAQRq42A4yC4zd3kazJE.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
110,1117,pentagonal prism showing net layout,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2voSs8QAFLrH6w7Jcs7FnZUoVkueNG.svg,B,No,Yes,No,No,,Yes,No,N/A,No,Yes,No,N/A,No
115,3348,"grid, hexagon with all sides 4 units labeled Hexagon A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-nip0W9hXoHZYZctWJCZTAuOfowybLP.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
116,3987,"two triangles side by side, Triangle ABC with sides labeled 4, 5, 6 and Triangle DEF with one side labeled with question mark, one side labeled 7.5, one side labeled 9",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2PIpdF7ObCChr4AmqDpDjUbDyk4GuA.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
117,3991,L-shaped prism with dotted line showing how to split it into two rectangular pieces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4P5Mtgu4P40zOChRLO347ZlgpObrPT.svg,B,Yes,Yes,Yes,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
118,3262,"division diagram, 5 ÷ 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-bAxhkQXzi94H442SdOTj4gHupRFaxG.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
119,4715,"coordinate plane, point S(2,3) with reflection over x-axis then 90° counterclockwise rotation sequence, and reverse order sequence",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-drmt2Rcsj4JVn487Cgt4i1LCXi7tnQ.svg,B,Yes,Yes,Yes,Yes,It is clear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
120,1573,"area model, 1 1/4 x 5, show unit squares with grid lines",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-dU4lAcu6AHoKbcDcwXelgFIaeb2OWi.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
121,391,"rectangular prism made of unit cubes, 4 layers, 8 cubes per layer",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YvNpw21OVSX4DSrH8aHLNTPsd27T9A.svg,B,Yes,No,N/A,N/A,,No,No,N/A,No,Yes,No,N/A,No
127,735,"rectangular prism made of unit cubes, 4x2x5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gQWya8TYX6lytH2oDK0rIW7wyZRBmr.svg,B,Yes,Yes,No,Yes,,Yes,No,N/A,No,Yes,N/A,N/A,No
129,2659,step by step finger counting for solving inequalities,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-zn2DKnur8re4uNfwzxb0oxOE5GPjOe.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,No
130,4138,"number line, 1300 to 1400, show 1347 and mark both 1300 and 1400",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xsBfxn8rYA7tIZ0EHqmYYDUjy91Wh2.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Yes,No
131,2574,"3D rectangular prism composite figure, storage unit with larger section 6x5x8 ft connected to smaller section 4x3x8 ft",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-i88TuiYX4gUKkksagFmr0cq0kzN9w6.svg,B,Yes,No,Yes,Yes,,No,No,No,No,No,No,No,No
133,1619,"coordinate plane, y = x^2, parabola",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9iraTJs1eJjj47DYbinpZu6hAFJLQe.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Yes,Yes
135,3408,"large coordinate grid without numbers, triangle JKL positioned in upper center area, point K' positioned down and to the right, and horizontal line n in the bottom quarter of the grid",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-N8Fis5AZYves4fCfOpQGFeCKUVUn86.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,No,Yes,Yes
136,232,"rectangle divided into 2 equal parts, 1 part shaded",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CnqCaINm2yfBipvmgK1yN5Jl72loz4.svg,B,Yes,No,Yes,Yes,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
138,3810,"dot pattern card, 4 dots in L-shape arrangement",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gFrLMi28LQvWvo7bXQU52XiLouqnR4.svg,B,Yes,No,Yes,Yes,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
140,2458,"isometric grid, hexagon HJKLMN with center around origin, and points O and P below the hexagon",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6NifS80RHKsMUF8LNWV81kD9WS2wca.svg,B,Yes,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,No,Yes,Yes
141,3615,"L-shaped figure made of two rectangular prisms, one section completely filled, other section partially filled",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gYcnotdRLKY70jJA2rFylgcggGSVQB.svg,B,Yes,Yes,N/A,N/A,,No,No,N/A,No,Yes,Yes,N/A,N/A
142,3316,"composite figure made of two rectangular prisms, one 6 x 2 x 3 on top of another 4 x 4 x 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9aHkFztY98Rl7TaSFvzTjyyVd3mrvY.svg,B,Yes,Yes,N/A,No,,Yes,No,N/A,No,Yes,No,N/A,No
143,4073,Grid paper with a small rectangle (2x3) and spaces to draw scaled copies,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-52p7RqzfQBGNvDV9aAoURqx0THJyJU.svg,B,Yes,Yes,No,Yes,,Yes,No,Yes,No,No,Yes,No,Yes
144,3706,one soccer ball and one basketball side by side,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CE85HZ8pyHaEvhzZetNfdjFvToYuWh.svg,B,Yes,No,N/A,No,,No,No,N/A,No,No,N/A,N/A,N/A
145,4154,"dot plot, symmetric distribution, bell-shaped, centered around 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-H2zlSoprworiMuVueLngrBA0Ircw5Z.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
148,4585,"rectangular prism, 2 x 3 x 4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-R0JAWLFe4KHnkUOEKA3w170liL6lVT.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,Yes
149,2576,"horizontal bar graph, Transportation to School. Categories: Bus 18, Car 14, Walk 9, Bike 6. Professional looking for grade 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-X3pSC7BxE7A6r35axDj60POXdf1YAt.svg,B,Yes,Yes,Yes,Yes,It is well structured,Yes,No,Yes,No,No,N/A,Yes,Yes
151,3420,number line showing inequality solution with arrows,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VjMREEFzNLaq7zq1jDLLHe4lROygop.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
152,1421,"histogram, blank with ranges 0-2, 2-4, 4-6, 6-8, 8-10, 10-12, 12-14",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UXzrT0SPdXHQJxRiYSKUQkvYstxoUH.svg,B,Yes,N/A,Yes,Yes,,Yes,N/A,Yes,No,Yes,N/A,Yes,No
153,238,"L-shaped 3D figure made of unit cubes: vertical part 2 units wide, 5 units tall, 4 units deep, horizontal part 4 units long, 2 units wide, 4 units deep, clearly showing both parts",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9PuJQxkZ5ucyXnbJ3ttQiix6SWanXf.svg,B,Yes,No,N/A,No,,No,No,N/A,No,Yes,No,N/A,No
154,2908,parallelogram with incorrect height line that is not perpendicular to base,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-66dxpWv8AgvKabXS2kj2tAvDQf9Nd2.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
